OPTIMISED TIMETABLE SCHEDULE — GWO v6
======================================================================

SCHEDULE DETAILS:
----------------------------------------------------------------------
20200      | inperson  | lecture | slot_167           | Sunday  Monday  Tuesday  Wednesday  Thursday | modaraj al-sadaqa | Mohammad Amoura
20200      | inperson  | lecture | slot_153           | Sunday  Monday  Tuesday  Wednesday  Thursday | 704      | Ala'A Abu Saleem
20231      | inperson  | lecture | slot_152           | Sunday  Monday  Tuesday  Wednesday  Thursday | 308      | Dr. Abeer Jaradat
20232      | blended   | lecture | slot_156           | Sunday  Tuesday              | 342      | Prof. Ma'Moon Ahmed
20233      | blended   | lecture | slot_172           | Sunday  Monday  Tuesday      | atelier ُee309 | Raja'A Al-Qderat
20233      | blended   | lecture | slot_149           | Sunday  Monday  Tuesday  Wednesday  Thursday | 207      | Prof. Fida Mohammad
20234      | inperson  | lecture | slot_149           | Sunday  Monday  Tuesday  Wednesday  Thursday | 206      | Prof. Samia Bushnaq
20234      | inperson  | lecture | slot_158           | Sunday  Monday  Tuesday  Wednesday  Thursday | 307      | Dr. Sahar Aleid
20234      | inperson  | lecture | slot_151           | Sunday  Monday  Tuesday  Wednesday  Thursday | 206      | Prof. Samia Bushnaq
20234      | inperson  | lecture | slot_199           | Monday  Wednesday            | 301      | Dr. Sahar Aleid
20235      | blended   | lecture | slot_160           | Sunday  Monday  Tuesday      | 341      | Prof. Mahmoud Dar Assi
20235      | blended   | lecture | slot_161           | Sunday  Monday  Tuesday      | 341      | Prof. Mahmoud Dar Assi
20235      | blended   | lecture | slot_178           | Monday  Wednesday            | 301      | Ala'A Abu Saleem
20333      | blended   | lecture | slot_176           | Wednesday  Thursday          | 342      | Prof. Samia Bushnaq
20335      | blended   | lecture | slot_161           | Sunday  Monday  Tuesday      | 303      | Prof. Fida Mohammad
21218      | blended   | lab     | slot_164           | Sunday  Tuesday              | lb706    | Prof. Esam Al Qaralleh
21218      | blended   | lab     | slot_178           | Monday  Wednesday            | lb706    | Prof. Ayman Faza
21219      | inperson  | lecture | slot_211           | Monday  Wednesday            | ee124    | Prof. Ayman Faza
21221      | inperson  | lecture | slot_155           | Sunday  Tuesday              | 208      | Prof. Ayman Faza
21222      | inperson  | lecture | slot_159           | Monday  Wednesday            | 204      | Dr. Omar Mohamed
21222      | inperson  | lecture | slot_174           | Sunday  Tuesday              | 205      | Hussam Kloub
21229      | inperson  | lab     | slot_179           | Sunday  Monday  Tuesday      | ee205 circuits | Prof. Fadi Shahrouri
21231      | inperson  | lecture | slot_178           | Monday  Wednesday            | 205      | Prof. Fadi Shahrouri
21331      | inperson  | lecture | slot_162           | Sunday  Monday  Tuesday      | 922      | Dr. Hani Ahmad
21332      | inperson  | lecture | slot_175           | Monday  Wednesday            | 307      | Eng. Hazem Marar
21338      | inperson  | lab     | slot_177           | Sunday  Monday  Tuesday      | ee102 electrical | Prof. Fadi Shahrouri
22241      | inperson  | lecture | slot_152           | Sunday  Monday  Tuesday  Wednesday  Thursday | 204      | Eng. Nour Kattawi
22241      | inperson  | lecture | slot_172           | Sunday  Monday  Tuesday      | 341      | Eng. Nour Kattawi
22342      | inperson  | lecture | slot_155           | Sunday  Tuesday              | 301      | Eng. Hazem Marar
22348      | inperson  | lab     | slot_162           | Sunday  Monday  Tuesday      | ee204 microprocessor | Dr. Osama Abu-Sharkh
22443      | inperson  | lecture | slot_150           | Sunday  Monday  Tuesday  Wednesday  Thursday | 301      | Ramzi Saifan
22443      | inperson  | lecture | slot_152           | Sunday  Monday  Tuesday  Wednesday  Thursday | modaraj al-sadaqa | Ramzi Saifan
22449      | inperson  | lab     | slot_172           | Sunday  Monday  Tuesday      | ee344 networks | Dr. Osama Abu-Sharkh
23351      | inperson  | lecture | slot_160           | Sunday  Monday  Tuesday      | 207      | Prof. Raed Mesleh
23356      | inperson  | lab     | slot_180           | Sunday  Monday  Tuesday      | ee243 cellular | Dr. Luae' Al-Tarawneh
23356      | inperson  | lab     | slot_157           | Monday  Wednesday            | ee243 cellular | Dr. Luae' Al-Tarawneh
23411      | blended   | lecture | slot_160           | Sunday  Monday  Tuesday      | 206      | Eng. Neda Al Daher
24411      | blended   | lecture | slot_156           | Sunday  Tuesday              | 203      | Eng. Fadia El Issa
24469      | inperson  | lab     | slot_162           | Sunday  Monday  Tuesday      | ee104 electrical | Dr. Omar Mohamed
24471      | inperson  | lecture | slot_163           | Monday  Wednesday            | 701      | Hussam Kloub
24568      | inperson  | lab     | slot_176           | Wednesday  Thursday          | tba      | Dr. Omar Mohamed
25330      | inperson  | lecture | slot_151           | Sunday  Monday  Tuesday  Wednesday  Thursday | 342      | Eng. Islam Al Shawish
31021      | online    | lecture | slot_167           | Sunday  Monday  Tuesday  Wednesday  Thursday | ONLINE   | Dr. Rami Abo Ayshaeh
31111      | online    | lecture | slot_167           | Sunday  Monday  Tuesday  Wednesday  Thursday | ONLINE   | Prof. Rami Salem
31111      | online    | lecture | slot_162           | Sunday  Monday  Tuesday      | ONLINE   | Dr. Haya Aldalabih
31112      | online    | lecture | slot_166           | Sunday  Monday  Tuesday      | ONLINE   | Prof. Rami Salem
31112      | online    | lecture | slot_149           | Sunday  Monday  Tuesday  Wednesday  Thursday | ONLINE   | Dr. Haya Aldalabih
31112      | online    | lecture | slot_199           | Monday  Wednesday            | ONLINE   | Dr. Haya Aldalabih
31122      | online    | lecture | slot_149           | Sunday  Monday  Tuesday  Wednesday  Thursday | ONLINE   | Ashraf Thaher
31130      | blended   | lecture | slot_160           | Sunday  Monday  Tuesday      | 303      | Ahamad Abdelraziq
31130      | blended   | lecture | slot_172           | Sunday  Monday  Tuesday      | 303      | Omar Al Duais
31151      | online    | lecture | slot_167           | Sunday  Monday  Tuesday  Wednesday  Thursday | ONLINE   | Dr. Ahmad Tarawneh
31151      | online    | lecture | slot_160           | Sunday  Monday  Tuesday      | ONLINE   | Dr. Ahmad Tarawneh
31152      | blended   | lecture | slot_166           | Sunday  Monday  Tuesday      | 343      | Shahenaz Issa
31251      | online    | lecture | slot_149           | Sunday  Monday  Tuesday  Wednesday  Thursday | ONLINE   | Saja Al-Hajaj
31254      | online    | lecture | slot_167           | Sunday  Monday  Tuesday  Wednesday  Thursday | ONLINE   | Hadeel Alomari
31254      | online    | lecture | slot_149           | Sunday  Monday  Tuesday  Wednesday  Thursday | ONLINE   | Dr. Raed Wishah
31254      | online    | lecture | slot_179           | Sunday  Monday  Tuesday      | ONLINE   | Hanin Damer
31255      | online    | lecture | slot_165           | Sunday  Monday  Tuesday      | ONLINE   | Hadeel Alomari
31255      | online    | lecture | slot_151           | Sunday  Monday  Tuesday  Wednesday  Thursday | ONLINE   | Dr. Raed Wishah
31255      | online    | lecture | slot_167           | Sunday  Monday  Tuesday  Wednesday  Thursday | ONLINE   | Hanin Damer
31260      | inperson  | lecture | slot_165           | Sunday  Monday  Tuesday      | 307      | Dr. Adel Alhanahnah
31271      | blended   | lecture | slot_162           | Sunday  Monday  Tuesday      | 303      | Prof. Abdul Ghani Albaali
31272      | blended   | lecture | slot_181           | Sunday  Monday  Tuesday      | 204      | Prof. Abdul Ghani Albaali
31311      | blended   | lecture | slot_177           | Sunday  Monday  Tuesday      | 341      | Prof. Abdul Ghani Albaali
31311      | blended   | lecture | slot_166           | Sunday  Monday  Tuesday      | 303      | Prof. Abdul Ghani Albaali
31351      | blended   | lecture | slot_160           | Sunday  Monday  Tuesday      | 343      | Shahenaz Issa
31352      | blended   | lecture | slot_162           | Sunday  Monday  Tuesday      | 343      | Shahenaz Issa
31372      | online    | lecture | slot_149           | Sunday  Monday  Tuesday  Wednesday  Thursday | ONLINE   | Banan Alkasasbeh
31373      | online    | lecture | slot_167           | Sunday  Monday  Tuesday  Wednesday  Thursday | ONLINE   | Dana Manasra
31373      | online    | lecture | slot_149           | Sunday  Monday  Tuesday  Wednesday  Thursday | ONLINE   | Hadeel Alomari
31373      | online    | lecture | slot_209           | Monday  Wednesday            | ONLINE   | Banan Alkasasbeh
31374      | online    | lecture | slot_199           | Monday  Wednesday            | ONLINE   | Dana Manasra
31374      | online    | lecture | slot_178           | Monday  Wednesday            | ONLINE   | Hadeel Alomari
31374      | online    | lecture | slot_166           | Sunday  Monday  Tuesday      | ONLINE   | Banan Alkasasbeh
32431      | blended   | lecture | slot_170           | Monday  Wednesday            | 203      | Eng. Neda Al Daher
33101      | inperson  | lecture | slot_152           | Sunday  Monday  Tuesday  Wednesday  Thursday | 702      | Dr. Amro Al-Madadha
33103      | inperson  | lecture | slot_152           | Sunday  Monday  Tuesday  Wednesday  Thursday | 704      | Dr. Mohammad Alsumadi
33103      | inperson  | lecture | slot_153           | Sunday  Monday  Tuesday  Wednesday  Thursday | 701      | Dr. Manal Qarain
33203      | inperson  | lecture | slot_162           | Sunday  Monday  Tuesday      | 207      | Dr. Bilal Hamoud
33204      | blended   | lecture | slot_160           | Sunday  Monday  Tuesday      | 701      | Dr. Mohammad Alsumadi
33204      | blended   | lecture | slot_167           | Sunday  Monday  Tuesday  Wednesday  Thursday | 206      | Dr. Manal Qarain
33209      | inperson  | lecture | slot_160           | Sunday  Monday  Tuesday      | 342      | Dr. Aseel Abu Ajamieh
33212      | inperson  | lecture | slot_152           | Sunday  Monday  Tuesday  Wednesday  Thursday | 822      | Dr. Bilal Hamoud
33218      | inperson  | lecture | slot_172           | Sunday  Monday  Tuesday      | 301      | Dr. Raed Wishah
33309      | blended   | lecture | slot_175           | Monday  Wednesday            | 205      | Dr. Bilal Hamoud
33313      | inperson  | lecture | slot_150           | Sunday  Monday  Tuesday  Wednesday  Thursday | 308      | Dr. Khleef Alkhawaldeh
33317      | inperson  | lecture | slot_156           | Sunday  Tuesday              | 208      | Dr. Khleef Alkhawaldeh
33404      | blended   | lecture | slot_172           | Sunday  Monday  Tuesday      | 703      | Dr. Amer Al Shishany
